ticket_id,category,priority,channel,created_at,resolved_at,agent,status,satisfaction
T0036,Password Reset,Medium,Chat,2023-07-09 21:06:00,2023-07-14 14:06:00,Agent_3,Resolved,1.0
T0037,Account Setup,Critical,Chat,2023-08-17 06:45:00,2023-08-19 02:45:00,Agent_1,Resolved,3.0
T0038,Feature Request,Medium,Chat,2023-06-12 20:27:00,2023-06-17 07:27:00,Agent_2,Resolved,1.0
T0039,Password Reset,Medium,Email,2023-07-27 17:45:00,2023-07-30 00:45:00,Agent_3,Resolved,1.0
T0040,Feature Request,Low,Chat,2023-08-14 17:09:00,2023-08-17 01:09:00,Agent_2,Resolved,3.0
T0041,Shipping,Critical,Phone,2023-08-27 07:42:00,2023-08-27 21:42:00,Agent_2,Resolved,5.0
T0042,Shipping,Critical,Phone,2023-06-21 05:56:00,,Agent_3,Escalated,
T0043,Billing Issue,Medium,Web Form,2023-06-21 22:06:00,2023-06-23 23:06:00,Agent_3,Resolved,4.0
T0044,Feature Request,High,Email,2023-07-10 07:14:00,2023-07-10 11:14:00,Agent_3,Resolved,4.0
T0045,Feature Request,Low,Email,2023-07-15 20:32:00,2023-07-18 00:32:00,Agent_3,Resolved,5.0
T0046,Feature Request,High,Web Form,2023-06-23 18:16:00,2023-06-23 23:16:00,Agent_5,Resolved,4.0
T0047,Password Reset,Critical,Email,2023-08-05 03:24:00,2023-08-09 23:24:00,Agent_5,Resolved,3.0
T0048,Feature Request,Critical,Email,2023-08-08 21:46:00,2023-08-12 20:46:00,Agent_3,Resolved,2.0
T0049,Account Setup,High,Web Form,2023-08-19 10:42:00,2023-08-23 23:42:00,Agent_3,Resolved,3.0
T0050,Returns,Critical,Phone,2023-07-22 22:18:00,2023-07-25 21:18:00,Agent_5,Resolved,4.0
T0051,Feature Request,Medium,Web Form,2023-08-12 09:25:00,2023-08-15 08:25:00,Agent_5,Resolved,3.0
T0052,Account Setup,Critical,Phone,2023-08-17 20:20:00,2023-08-20 08:20:00,Agent_1,Resolved,2.0
T0053,Shipping,Medium,Chat,2023-07-07 16:42:00,2023-07-11 02:42:00,Agent_2,Resolved,1.0
T0054,Account Setup,Low,Web Form,2023-06-26 04:01:00,2023-06-26 10:01:00,Agent_4,Resolved,4.0
T0055,Bug Report,Medium,Phone,2023-08-20 18:12:00,2023-08-24 14:12:00,Agent_1,Resolved,4.0
T0056,Bug Report,Low,Phone,2023-06-14 13:14:00,2023-06-15 12:14:00,Agent_1,Resolved,5.0
T0057,Account Setup,High,Web Form,2023-07-29 04:51:00,2023-07-31 16:51:00,Agent_5,Resolved,5.0
T0058,Returns,Critical,Web Form,2023-08-04 13:53:00,2023-08-09 10:53:00,Agent_3,Resolved,2.0
T0059,Returns,Medium,Chat,2023-07-02 20:17:00,2023-07-06 23:17:00,Agent_4,Resolved,4.0
T0060,Account Setup,Low,Phone,2023-06-10 22:18:00,2023-06-12 05:18:00,Agent_2,Resolved,3.0
T0061,Bug Report,Critical,Chat,2023-06-30 12:44:00,2023-07-01 08:44:00,Agent_5,Resolved,1.0
T0062,Shipping,Low,Web Form,2023-07-30 13:03:00,2023-07-31 16:03:00,Agent_4,Resolved,4.0
T0063,Account Setup,Medium,Web Form,2023-06-01 11:19:00,2023-06-05 12:19:00,Agent_2,Resolved,4.0
T0064,Returns,Medium,Web Form,2023-07-05 13:31:00,2023-07-05 17:31:00,Agent_2,Resolved,4.0
T0065,Returns,Low,Email,2023-08-19 17:01:00,2023-08-24 14:01:00,Agent_4,Resolved,5.0
T0066,Billing Issue,Critical,Chat,2023-06-18 14:11:00,2023-06-18 21:11:00,Agent_3,Resolved,3.0
T0067,Bug Report,Low,Email,2023-07-19 08:48:00,2023-07-23 19:48:00,Agent_3,Resolved,1.0
T0068,Shipping,Low,Phone,2023-06-29 20:04:00,2023-07-04 00:04:00,Agent_2,Resolved,1.0
T0069,Account Setup,Medium,Web Form,2023-06-03 19:09:00,2023-06-05 02:09:00,Agent_3,Resolved,1.0
T0070,Shipping,Medium,Chat,2023-07-18 05:38:00,2023-07-21 11:38:00,Agent_1,Resolved,1.0
T0071,Bug Report,Medium,Email,2023-08-14 00:59:00,2023-08-15 16:59:00,Agent_5,Resolved,4.0
T0072,Shipping,Low,Email,2023-08-28 20:15:00,2023-08-29 10:15:00,Agent_3,Resolved,3.0
T0073,Password Reset,Critical,Web Form,2023-08-08 13:42:00,,Agent_1,Escalated,
T0074,Bug Report,Medium,Chat,2023-07-26 11:40:00,2023-07-31 06:40:00,Agent_5,Resolved,2.0
T0075,Feature Request,High,Phone,2023-08-08 15:29:00,2023-08-10 23:29:00,Agent_1,Resolved,5.0
T0076,Returns,Critical,Chat,2023-07-06 14:15:00,2023-07-10 15:15:00,Agent_1,Resolved,5.0
T0077,Feature Request,High,Chat,2023-08-03 10:11:00,2023-08-06 01:11:00,Agent_5,Resolved,3.0
T0078,Bug Report,Medium,Web Form,2023-06-02 16:12:00,2023-06-03 03:12:00,Agent_4,Resolved,4.0
T0079,Feature Request,High,Web Form,2023-07-28 00:05:00,2023-07-29 14:05:00,Agent_5,Resolved,2.0
T0080,Returns,Critical,Chat,2023-08-07 11:27:00,2023-08-11 11:27:00,Agent_3,Resolved,3.0
T0081,Returns,Medium,Phone,2023-07-03 07:07:00,2023-07-07 04:07:00,Agent_2,Resolved,1.0
T0082,Account Setup,High,Email,2023-08-01 08:46:00,2023-08-04 12:46:00,Agent_2,Resolved,5.0
T0083,Billing Issue,High,Email,2023-07-08 07:23:00,2023-07-09 06:23:00,Agent_1,Resolved,5.0
T0084,Password Reset,Low,Chat,2023-08-10 09:44:00,2023-08-11 02:44:00,Agent_4,Resolved,4.0
T0085,Shipping,Critical,Email,2023-08-01 14:21:00,2023-08-02 14:21:00,Agent_1,Resolved,3.0
T0086,Billing Issue,Medium,Chat,2023-07-22 15:04:00,2023-07-25 17:04:00,Agent_1,Resolved,1.0
T0087,Shipping,Medium,Web Form,2023-07-02 03:35:00,2023-07-06 05:35:00,Agent_4,Resolved,5.0
T0088,Account Setup,Low,Email,2023-07-27 09:55:00,2023-07-30 13:55:00,Agent_2,Resolved,3.0
T0089,Billing Issue,Low,Phone,2023-08-20 06:16:00,,Agent_1,Open,
T0090,Billing Issue,High,Chat,2023-07-23 14:44:00,2023-07-26 19:44:00,Agent_4,Resolved,1.0
T0091,Returns,Medium,Web Form,2023-06-10 21:14:00,2023-06-15 20:14:00,Agent_1,Resolved,5.0
T0092,Password Reset,Low,Phone,2023-08-09 07:41:00,2023-08-10 03:41:00,Agent_3,Resolved,2.0
T0093,Password Reset,Critical,Chat,2023-08-16 23:52:00,2023-08-20 00:52:00,Agent_4,Resolved,4.0
T0094,Password Reset,Critical,Chat,2023-07-05 16:34:00,2023-07-08 08:34:00,Agent_5,Resolved,5.0
T0095,Account Setup,Low,Chat,2023-07-03 00:05:00,2023-07-04 06:05:00,Agent_5,Resolved,5.0
T0096,Billing Issue,Critical,Web Form,2023-06-06 05:30:00,2023-06-09 00:30:00,Agent_1,Resolved,3.0
T0097,Shipping,Medium,Chat,2023-07-31 11:26:00,2023-08-02 06:26:00,Agent_4,Resolved,1.0
T0098,Password Reset,Critical,Email,2023-08-28 15:18:00,2023-09-01 04:18:00,Agent_3,Resolved,5.0
T0099,Shipping,Low,Web Form,2023-07-03 10:07:00,2023-07-07 13:07:00,Agent_4,Resolved,5.0
T0100,Returns,Critical,Email,2023-06-07 06:33:00,2023-06-09 05:33:00,Agent_2,Resolved,4.0
